0,1,2,3,4,5,6,7,8,9,11,12,13
10.13*,Form of CEO Restricted,Stock,Unit Award,Agreement,nan,nan,under,nan,2014,10-Q,10.1,12/26/20
nan,"Employee Stock Plan effective as of September 27, 2020.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10.14*,Form of CEO Performance,nan,Award Agreement,nan,under,nan,2014,Employee,nan,10-Q,10.2,12/26/20
nan,"Stock Plan effective as of September 27, 2020.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10.15*,Apple Inc. 2022 Employee Stock Plan.,nan,nan,nan,nan,nan,nan,nan,nan,8-K,10.1,3/4/22
10.16*,Form of Restricted Stock Unit Award Agreement under 2022 Employee,nan,nan,nan,nan,nan,nan,nan,nan,8-K,10.2,3/4/22
nan,"Stock Plan effective as of March 4, 2022.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10.17*,Form of Performance Award Agreement under 2022 Employee Stock,nan,nan,nan,nan,nan,nan,nan,nan,8-K,10.3,3/4/22
nan,"Plan effective as of March 4, 2022.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10.18*,Apple Inc. Executive Cash Incentive Plan.,nan,nan,nan,nan,nan,nan,nan,nan,8-K,10.1,8/19/22
10.19*,Form of CEO Restricted,Stock,Unit Award,Agreement,nan,nan,under,nan,2022,10-Q,10.1,12/31/22
nan,"Employee Stock Plan effective as of September 25, 2022.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10.20*,Form of CEO Performance,nan,Award Agreement,nan,under,nan,2022,Employee,nan,10-Q,10.2,12/31/22
nan,"Stock Plan effective as of September 25, 2022.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
21.1**,Subsidiaries of the Registrant.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23.1**,Consent of Independent Registered Public Accounting Firm.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
24.1**,Power of Attorney (included,nan,on the Signatures,nan,page,nan,of this,Annual,nan,nan,nan,nan
nan,Report on Form 10-K).,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
31.1**,Rule 13a-14(a) / 15d-14(a) Certification of Chief Executive Officer.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
31.2**,Rule 13a-14(a) / 15d-14(a) Certification of Chief Financial Officer.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
32.1***,Section 1350 Certifications,nan,of Chief,Executive,nan,Officer,nan,and,Chief,nan,nan,nan
nan,Financial Officer.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
